iter	Passed	Remaining
835	19605	3846
836	19633	3823
837	19659	3800
838	19683	3777
839	19707	3753
840	19730	3730
841	19753	3706
842	19778	3683
843	19800	3659
844	19823	3636
845	19845	3612
846	19866	3588
847	19886	3564
848	19915	3542
849	19937	3518
850	19960	3494
851	19980	3470
852	20001	3446
853	20020	3422
854	20042	3399
855	20066	3375
856	20091	3352
857	20192	3341
858	20220	3319
859	20241	3295
860	20262	3271
861	20283	3247
862	20304	3223
863	20326	3199
864	20347	3175
865	20370	3152
866	20392	3128
867	20414	3104
868	20435	3080
869	20455	3056
870	20477	3032
871	20499	3009
872	20520	2985
873	20542	2961
874	20563	2937
875	20584	2913
876	20606	2890
877	20628	2866
878	20650	2842
879	20678	2819
880	20721	2798
881	20749	2776
882	20783	2753
883	20831	2733
884	20872	2712
885	20919	2691
886	20944	2668
887	20968	2644
888	20994	2621
889	21015	2597
890	21037	2573
891	21060	2549
892	21084	2526
893	21108	2502
894	21132	2479
895	21158	2455
896	21185	2432
897	21208	2409
898	21231	2385
899	21253	2361
900	21278	2338
901	21300	2314
902	21325	2290
903	21348	2267
904	21370	2243
905	21393	2219
906	21416	2196
907	21440	2172
908	21461	2148
909	21481	2124
910	21503	2100
911	21525	2077
912	21546	2053
913	21567	2029
914	21590	2005
915	21611	1981
916	21631	1957
917	21652	1934
918	21673	1910
919	21695	1886
920	21716	1862
921	21739	1839
922	21761	1815
923	21785	1791
924	21806	1768
925	21828	1744
926	21850	1720
927	21873	1697
928	21896	1673
929	21919	1649
930	21943	1626
931	21966	1602
932	21990	1579
933	22013	1555
934	22037	1532
935	22059	1508
936	22080	1484
937	22102	1460
938	22124	1437
939	22147	1413
940	22168	1389
941	22190	1366
942	22212	1342
943	22234	1319
944	22257	1295
945	22278	1271
946	22300	1248
947	22322	1224
948	22343	1200
949	22364	1177
950	22384	1153
951	22406	1129
952	22428	1106
953	22448	1082
954	22469	1058
955	22489	1035
956	22512	1011
957	22537	988
958	22561	964
959	22632	943
960	22661	919
961	22683	896
962	22703	872
963	22724	848
964	22745	824
965	22765	801
966	22785	777
967	22806	753
968	22829	730
969	22850	706
970	22872	683
971	22893	659
972	22919	635
973	22958	612
974	22991	589
975	23015	565
976	23040	542
977	23073	519
978	23096	495
979	23118	471
980	23137	448
981	23158	424
982	23179	400
983	23200	377
984	23220	353
985	23242	330
986	23263	306
987	23284	282
988	23304	259
989	23324	235
990	23344	212
991	23364	188
992	23386	164
993	23407	141
994	23429	117
995	23452	94
996	23474	70
997	23495	47
